# BLASTN 2.2.27+
# Query: NC_012920.1 Homo sapiens mitochondrion, complete genome.
# Database: human_g1k_v37.fasta
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 180 hits found
NC_012920.1	MT	99.99	16569	0	1	1	16568	1	16569	0.0	3.059e+004
NC_012920.1	5	88.88	8802	970	9	6388	15182	99390441	99381642	0.0	1.082e+004
NC_012920.1	5	94.06	5219	310	0	10268	15486	134264217	134258999	0.0	7921
NC_012920.1	5	87.31	3466	434	6	12661	16123	93903161	93906623	0.0	3958
NC_012920.1	5	94.36	2360	117	13	341	2697	79948187	79945841	0.0	3607
NC_012920.1	5	78.37	1997	398	26	5933	7907	97747466	97745482	0.0	1264
NC_012920.1	5	84.62	975	129	15	574	1537	123096496	123097460	0.0	 950
NC_012920.1	5	82.86	490	77	7	3821	4307	60057851	60057366	2e-117	 433
NC_012920.1	5	80.97	494	83	7	596	1087	8622201	8622685	7e-102	 381
NC_012920.1	5	86.82	296	30	8	6116	6411	99390749	99390463	4e-084	 322
NC_012920.1	5	91.62	167	14	0	14662	14828	105889230	105889064	8e-057	 231
NC_012920.1	5	83.54	158	23	3	16413	16568	8620975	8621131	1e-030	 145
NC_012920.1	5	100.00	40	0	0	12146	12185	165957466	165957427	1e-009	75.0
NC_012920.1	5	97.56	41	1	0	10801	10841	73071717	73071757	2e-008	71.3
NC_012920.1	1	98.55	5843	82	2	3913	9754	564464	570304	0.0	1.032e+004
NC_012920.1	1	78.82	5699	1055	127	573	6195	238109691	238104069	0.0	3698
NC_012920.1	1	74.53	5100	1091	157	9770	14788	235705676	235700704	0.0	2030
NC_012920.1	1	85.15	505	62	12	1013	1511	142792623	142793120	4e-139	 505
NC_012920.1	1	85.08	496	62	11	1013	1502	143344701	143345190	2e-136	 496
NC_012920.1	1	90.52	211	19	1	2466	2675	5910528	5910318	1e-070	 278
NC_012920.1	1	78.71	418	82	6	4607	5021	50482764	50483177	5e-069	 272
NC_012920.1	1	78.28	396	82	4	12142	12535	181391921	181392314	6e-063	 252
NC_012920.1	1	82.21	208	27	3	910	1117	9634690	9634887	2e-038	 171
NC_012920.1	1	94.79	96	5	0	8461	8556	169443396	169443301	2e-032	 150
NC_012920.1	1	100.00	74	0	0	8933	9006	38077348	38077421	2e-028	 137
NC_012920.1	1	96.00	50	1	1	12476	12525	104163820	104163772	3e-011	80.5
